Key,Summary,Assignee,Reporter,Priority,Status,Resolution,Created,Updated,Closed,Due Date,Version,Story Points, Epic, Hours
JIRA-1,Enjoy remember number note number.,Steven,Dawn,Low,Closed,Duplicate,2023-09-24,2023-09-29,2023-10-01,2023-09-30,2.0,4
JIRA-2,Possible next pressure language.,Michael,Jose,Medium,Closed,Fixed,2024-08-07,2024-08-16,2024-08-21,2024-08-15,1.0,1
JIRA-3,World machine.,Manuel,Christopher,Low,Closed,Won't Fix,2024-03-07,2024-03-16,2024-03-21,2024-03-12,1.3,1
JIRA-4,Audience remain decade store.,Patrick,Robert,High,Closed,Won't Fix,2024-08-04,2024-08-11,2024-08-15,2024-08-18,1.3,8
JIRA-5,Send whose official.,Julia,Jason,Critical,Resolved,Fixed,2024-01-31,2024-02-02,,2024-02-12,1.1,7
JIRA-6,Such best so carry.,Jessica,Stefanie,Medium,Open,Unresolved,2024-01-10,2024-01-11,,2024-01-19,1.2,2
JIRA-7,Behind information especially.,Jillian,Amanda,Medium,In Progress,Unresolved,2024-08-14,2024-08-20,,2024-08-28,1.0,3
JIRA-8,Official hundred information reach list.,Carolyn,Karina,Medium,Closed,Won't Fix,2024-05-07,2024-05-15,2024-05-18,2024-05-16,1.0,7
JIRA-9,Try policy statement.,Valerie,Jacqueline,Critical,Resolved,Won't Fix,2023-08-31,2023-09-01,,2023-09-14,1.3,4
JIRA-10,Responsibility store bit minute.,Tammy,Theodore,Low,Resolved,Duplicate,2024-04-11,2024-04-21,,2024-04-20,1.2,6
JIRA-11,True while occur rest easy.,Daniel,Scott,Critical,Closed,Won't Fix,2024-04-23,2024-04-27,2024-05-02,2024-05-02,1.0,11
JIRA-12,Never green analysis.,Larry,Marc,Low,Resolved,Won't Fix,2024-03-21,2024-03-29,,2024-03-27,1.0,6
JIRA-13,Democratic six mission skill.,Robert,John,Low,Closed,Unresolved,2023-09-16,2023-09-21,2023-09-26,2023-09-25,2.0,4
JIRA-14,Final tend purpose until.,Joseph,Wendy,Critical,Closed,Unresolved,2024-03-06,2024-03-08,2024-03-09,2024-03-15,1.1,12
JIRA-15,Impact employee eye.,Brittany,Jeffery,Critical,Open,Unresolved,2024-06-12,2024-06-22,,2024-06-20,1.0,10
JIRA-16,Local arrive make consumer.,Kimberly,Kyle,High,Resolved,Unresolved,2023-12-17,2023-12-18,,2023-12-23,2.0,5
JIRA-17,System down.,Nicholas,Sarah,Critical,In Progress,Unresolved,2024-01-26,2024-02-01,,2024-02-07,1.0,1
JIRA-18,Treat type top girl around.,Rachel,Anne,Medium,Resolved,Unresolved,2023-11-17,2023-11-26,,2023-11-28,2.0,1
JIRA-19,Theory school coach.,Robert,Madeline,High,Resolved,Won't Fix,2023-10-12,2023-10-13,,2023-10-17,1.0,11
JIRA-20,Early mention.,Joel,Eugene,High,In Progress,Unresolved,2024-05-04,2024-05-09,,2024-05-18,2.0,1
JIRA-21,Win bank like management.,Christopher,Shannon,Medium,In Progress,Unresolved,2024-01-08,2024-01-13,,2024-01-21,2.0,9
JIRA-22,Space seek fish together.,Nicholas,Michael,High,Open,Unresolved,2023-08-17,2023-08-25,,2023-08-24,1.1,3
JIRA-23,Answer significant.,John,Jessica,Low,Closed,Fixed,2024-05-09,2024-05-11,2024-05-12,2024-05-23,1.3,12
JIRA-24,Same nature.,Erin,Eric,Low,Closed,Fixed,2023-09-17,2023-09-27,2023-09-30,2023-09-29,1.3,5
