Key,Summary,Assignee,Reporter,Priority,Status,Resolution,Created,Updated,Closed,Due Date,Version,Story Points,Epic,Hours
JIRA-1,Deep upon.,Anthony,Anthony,Critical,Open,Unresolved,2024-08-05,2024-08-14,,2024-08-16,1.1,13,User Management,38.9
JIRA-2,Than bank.,Sarah,Jonathan,Critical,Open,Unresolved,2023-12-04,2023-12-11,,2023-12-17,1.1,2,API Development,20.2
JIRA-3,Herself culture control light scientist.,Nicole,Paul,High,Open,Unresolved,2024-06-10,2024-06-15,,2024-06-24,1.1,3,User Management,16.9
JIRA-4,Above character travel.,Christina,Jason,High,Open,Unresolved,2023-08-28,2023-09-07,,2023-09-11,1.2,1,Payment Gateway,28.7
JIRA-5,Serious project message community.,Jason,Mercedes,Critical,Closed,Duplicate,2024-08-10,2024-08-18,2024-08-22,2024-08-15,1.0,13,Security Updates,16.6
JIRA-6,Indeed dinner ask organization.,Donna,Kayla,High,Resolved,Won't Fix,2023-10-31,2023-11-04,,2023-11-05,1.3,13,Security Updates,5.1
JIRA-7,A pattern with.,Corey,Shaun,Low,In Progress,Unresolved,2024-06-20,2024-06-28,,2024-06-27,1.0,5,Security Updates,11.5
JIRA-8,Range apply within figure.,Jessica,Gregory,Critical,In Progress,Unresolved,2024-03-10,2024-03-12,,2024-03-18,1.0,13,User Management,21.8
JIRA-9,Party health field government involve.,John,Amanda,Critical,Open,Unresolved,2024-01-27,2024-02-02,,2024-02-03,1.2,2,Security Updates,26.5
JIRA-10,Option yes start.,Michelle,Eric,Critical,Resolved,Fixed,2024-07-30,2024-08-08,,2024-08-04,1.3,3,Dashboard Enhancements,33.5
JIRA-11,Media school.,Kim,Mercedes,Medium,In Progress,Unresolved,2024-03-11,2024-03-14,,2024-03-24,1.2,6,Payment Gateway,5.6
JIRA-12,Food yard next.,Tanya,Christina,Critical,Resolved,Won't Fix,2024-05-02,2024-05-03,,2024-05-12,1.3,13,Payment Gateway,22.9
JIRA-13,Yet what.,Brian,Susan,Medium,Open,Unresolved,2024-06-17,2024-06-26,,2024-06-23,1.1,5,Dashboard Enhancements,7.0
JIRA-14,Natural fast give include.,James,Danielle,Critical,In Progress,Unresolved,2023-10-16,2023-10-20,,2023-10-21,1.3,13,Payment Gateway,34.0
JIRA-15,Compare expect discover.,James,Raymond,High,Open,Unresolved,2024-08-14,2024-08-22,,2024-08-21,2.0,3,Security Updates,9.8
JIRA-16,The human table help case.,Kevin,April,Medium,Open,Unresolved,2023-11-08,2023-11-09,,2023-11-16,1.1,6,User Management,34.5
JIRA-17,Per interview low.,Jay,Daniel,Medium,Closed,Unresolved,2024-04-23,2024-05-01,2024-05-05,2024-05-03,2.0,6,User Management,19.9
JIRA-18,Organization identify class.,Charles,Linda,Medium,Closed,Won't Fix,2024-02-16,2024-02-20,2024-02-24,2024-02-28,1.1,3,Payment Gateway,33.0
JIRA-19,Energy myself eye blood.,Kaitlyn,Joshua,Low,Open,Unresolved,2024-01-05,2024-01-07,,2024-01-18,2.0,1,Payment Gateway,20.2
JIRA-20,Moment answer mother establish life.,Ronald,Randy,High,Open,Unresolved,2024-06-01,2024-06-04,,2024-06-14,2.0,4,API Development,18.0
JIRA-21,Front usually ok same.,Marcus,James,Low,In Progress,Unresolved,2023-10-11,2023-10-17,,2023-10-19,1.2,8,Dashboard Enhancements,18.4
JIRA-22,Idea central fall building.,Dakota,Rodney,High,Open,Unresolved,2024-04-14,2024-04-20,,2024-04-26,2.0,9,Security Updates,31.6
JIRA-23,Evening tree much student why.,Jim,Rachel,High,In Progress,Unresolved,2024-02-26,2024-03-01,,2024-03-05,1.2,8,Dashboard Enhancements,36.3
JIRA-24,Safe good drug.,Nathan,James,Medium,Closed,Fixed,2024-05-05,2024-05-09,2024-05-13,2024-05-16,1.2,11,Dashboard Enhancements,17.4
JIRA-25,Painting miss fall medical.,Taylor,Brian,Critical,In Progress,Unresolved,2024-07-16,2024-07-18,,2024-07-21,1.1,4,Security Updates,37.4
JIRA-26,Teach tell.,Jill,Diana,Low,Resolved,Duplicate,2024-04-20,2024-04-26,,2024-05-03,1.1,13,Payment Gateway,10.3
JIRA-27,Southern place language community.,Nathaniel,Jon,Low,Resolved,Unresolved,2024-07-15,2024-07-22,,2024-07-26,1.2,4,User Management,24.4
JIRA-28,Two brother.,Adrienne,Amy,Critical,In Progress,Unresolved,2024-01-02,2024-01-11,,2024-01-08,1.0,10,Dashboard Enhancements,8.9
JIRA-29,East feeling turn.,Robert,Daniel,High,Open,Unresolved,2023-09-25,2023-10-02,,2023-10-02,1.1,3,API Development,20.3
JIRA-30,Best throughout medical.,Samuel,John,Critical,Resolved,Duplicate,2024-01-29,2024-02-02,,2024-02-07,2.0,2,User Management,16.6
JIRA-31,View art support rate choice.,Elizabeth,David,Critical,In Progress,Unresolved,2024-01-02,2024-01-10,,2024-01-17,1.3,3,API Development,14.0
JIRA-32,Never begin learn.,Tamara,Scott,Medium,Resolved,Fixed,2024-01-14,2024-01-17,,2024-01-27,1.3,9,User Management,7.4
JIRA-33,Position future.,Alan,Rebecca,Critical,Closed,Duplicate,2023-09-01,2023-09-05,2023-09-10,2023-09-13,1.2,8,Dashboard Enhancements,24.8
JIRA-34,Truth support house.,Theresa,Michael,High,Open,Unresolved,2024-04-28,2024-05-03,,2024-05-11,1.3,4,User Management,15.4
JIRA-35,Choose of effect above ever.,Curtis,Sara,Low,Closed,Fixed,2023-09-11,2023-09-13,2023-09-16,2023-09-23,1.3,6,Payment Gateway,22.1
JIRA-36,Enter mention ball political.,Brian,Amber,Critical,Open,Unresolved,2024-04-01,2024-04-11,,2024-04-10,1.1,13,API Development,33.8
JIRA-37,Nor represent despite guy.,Sherri,Drew,Medium,Resolved,Duplicate,2023-12-02,2023-12-03,,2023-12-07,2.0,5,API Development,39.7
JIRA-38,Free tell write may.,Paul,Daniel,Critical,In Progress,Unresolved,2023-12-07,2023-12-13,,2023-12-16,1.2,1,Security Updates,28.6
JIRA-39,Leg season better side full.,Amanda,Monica,High,Open,Unresolved,2024-01-03,2024-01-05,,2024-01-13,1.2,11,API Development,24.5
JIRA-40,Opportunity method claim second old.,Amanda,Terry,Critical,Resolved,Unresolved,2024-07-13,2024-07-20,,2024-07-23,1.2,12,Dashboard Enhancements,31.1
JIRA-41,Property as market.,William,Alexander,Medium,Open,Unresolved,2024-06-10,2024-06-13,,2024-06-15,1.1,6,Dashboard Enhancements,24.7
JIRA-42,Instead ability employee.,Veronica,Sarah,High,Closed,Duplicate,2024-08-12,2024-08-17,2024-08-19,2024-08-25,1.0,5,Security Updates,19.7
JIRA-43,Position source office activity.,Scott,Jeffrey,Low,Resolved,Unresolved,2024-06-24,2024-06-27,,2024-07-09,1.2,11,Dashboard Enhancements,28.8
JIRA-44,Most southern.,Brenda,John,Low,Closed,Won't Fix,2024-02-05,2024-02-10,2024-02-15,2024-02-17,2.0,8,Dashboard Enhancements,34.7
JIRA-45,Local you movie fine.,Carrie,Julie,Critical,Resolved,Won't Fix,2023-12-01,2023-12-10,,2023-12-13,1.0,13,API Development,34.2
JIRA-46,Door style American.,Terri,Emily,High,Resolved,Duplicate,2023-12-20,2023-12-26,,2023-12-28,1.0,13,Security Updates,23.8
JIRA-47,Fine main.,Peter,Richard,Critical,Resolved,Won't Fix,2024-02-24,2024-02-26,,2024-03-10,2.0,13,User Management,5.5
JIRA-48,Turn air under role word.,Travis,Christopher,High,Open,Unresolved,2024-07-02,2024-07-09,,2024-07-17,1.2,6,User Management,21.3
JIRA-49,Two successful.,Spencer,Mark,Low,Open,Unresolved,2023-08-26,2023-09-01,,2023-09-07,1.0,8,Payment Gateway,33.2
JIRA-50,There treat.,Vanessa,Erika,Low,In Progress,Unresolved,2024-04-24,2024-04-29,,2024-05-01,1.3,7,User Management,26.4
JIRA-51,Smile economic question.,Shannon,Allison,High,In Progress,Unresolved,2024-04-09,2024-04-11,,2024-04-19,1.0,3,Security Updates,19.2
JIRA-52,Tv never anything.,Danny,Cynthia,Low,Closed,Unresolved,2024-01-04,2024-01-14,2024-01-16,2024-01-19,1.1,1,API Development,31.6
JIRA-53,So usually camera.,Laura,April,Critical,Closed,Fixed,2024-02-01,2024-02-11,2024-02-14,2024-02-16,1.1,11,Payment Gateway,21.0
JIRA-54,Face soldier build.,Anna,Samuel,Medium,Open,Unresolved,2024-03-18,2024-03-20,,2024-04-01,1.1,2,Payment Gateway,5.1
JIRA-55,Business result.,Rhonda,Jared,Critical,Closed,Fixed,2024-02-18,2024-02-28,2024-03-02,2024-02-26,1.0,3,Payment Gateway,31.4
JIRA-56,True new yard view.,Justin,Austin,Critical,Resolved,Duplicate,2024-05-04,2024-05-14,,2024-05-19,1.1,11,Security Updates,37.8
JIRA-57,Yeah tough.,Angela,Debra,High,Resolved,Fixed,2023-11-28,2023-12-07,,2023-12-03,1.3,8,API Development,32.5
JIRA-58,Religious establish quite.,Jesse,Natasha,Low,Resolved,Unresolved,2024-01-05,2024-01-09,,2024-01-13,1.3,13,API Development,10.8
JIRA-59,Stuff low blood among bed.,Patrick,Dawn,Critical,Open,Unresolved,2023-10-28,2023-10-31,,2023-11-08,1.3,13,Payment Gateway,24.2
JIRA-60,Strategy house.,Sylvia,Brian,High,Closed,Fixed,2024-07-06,2024-07-13,2024-07-15,2024-07-13,1.0,3,Dashboard Enhancements,9.6
JIRA-61,Big many.,Jose,Dawn,Medium,In Progress,Unresolved,2023-12-09,2023-12-17,,2023-12-20,1.0,3,Payment Gateway,18.2
JIRA-62,Team water direction word.,Bobby,Jessica,Medium,In Progress,Unresolved,2024-05-11,2024-05-20,,2024-05-23,1.3,8,User Management,35.8
JIRA-63,Executive pay among.,Omar,Michael,Critical,In Progress,Unresolved,2024-06-29,2024-07-07,,2024-07-11,1.2,8,Dashboard Enhancements,38.1
JIRA-64,Those need artist scene.,Todd,Melissa,Critical,In Progress,Unresolved,2023-09-26,2023-09-30,,2023-10-07,1.2,3,Dashboard Enhancements,12.9
JIRA-65,Your during also but herself.,Jason,Rebecca,Low,Open,Unresolved,2023-10-28,2023-10-30,,2023-11-10,1.0,11,User Management,5.8
JIRA-66,Population grow.,Melissa,Colleen,Critical,Closed,Fixed,2024-03-24,2024-03-29,2024-03-31,2024-04-03,1.2,2,User Management,15.0
JIRA-67,During west about reason.,Kelli,Stacey,Medium,Closed,Unresolved,2024-08-12,2024-08-17,2024-08-21,2024-08-18,1.0,1,Security Updates,31.8
JIRA-68,Prevent standard Democrat marriage.,Karen,Crystal,Low,Open,Unresolved,2024-04-01,2024-04-04,,2024-04-13,1.2,3,Payment Gateway,15.7
JIRA-69,Movement federal.,Lisa,Elizabeth,Low,Resolved,Duplicate,2023-12-28,2024-01-03,,2024-01-07,1.2,2,Security Updates,23.9
JIRA-70,Same paper.,Holly,Jeremy,Medium,In Progress,Unresolved,2023-09-30,2023-10-01,,2023-10-14,1.2,2,User Management,29.8
